,date,energy_type,1,10,11,12,13,14,16,17,18,2,24,26,3,31,32,32P,33,34,35,36,37,38,39,4,41,42_43_N16_E40,44,46,48,5,50,51,54,56,57,62_64,66,68,6C,6_6B,76,7_7A,8,9,Briggs Field Operating,DKE,E1,E14,E15,E17,E18,E19,E2,E23,E25,E28,E33,E34,E38,E40,E51,E52,E53,E55,E60,E62,E62P,E94,KS,Main Campus Area,N10,N4,N42,N51,N52,N57,N9,NE45,NE46,NE47,NE48,NE49,NW10,NW12_NW12A,NW13,NW14,NW15,NW16,NW17,NW21,NW22,NW23,NW30,NW32,NW35,NW36,NW61,NW62,NW86,Northwest Campus Area,OC19_ABCDEFGHJKLMNQ,OC22,OC23,PBE,Parking Areas,TXI,Utilities To Fraternities,W1,W11,W13,W15,W16,W20,W2_W4,W31,W32,W33,W34,W35,W41,W45,W5,W51,W51C,W53_W53A_W53B_W53C_W53D,W56,W59,W61,W64,W7,W70,W71,W79,W8,W84,W85_W85ABC_W85DE_W85FG_W85HJK,W89,W91,W92,W97,W98,WW15
10,2010-03-01,Gas,,,,,0.2054,,0.7189,,0.8216,,,,,123.1373,66.0361,,,,,0.001027,0.8216,,0.1027,94.3813,0.001027,302809.616954,0.001027,0.9243,,,14.5834,,0.8216,0.9243,9.4484,31.3235,0.8216,6.3674,,9.4484,,0.001027,9.4484,,,,2.4648,,,,2.1567,,7.2917,1.3351,1.2324,,187.2221,50.6311,5.135,9.0376,11.1943,64.8037,0.2054,,,,,,,,154.4608,,175.9251,2273.6753,6.5728,271.6415,91.5057,,,,,,1189.266,254.5933,,24.0318,,525.0024,289.8194,1466.1452,355.8555,,7.2917,,26.0858,,476.9388,902.9384,2616.0771,,2219.547,,,,,,,,238.7775,,,0.4108,44.8799,,0.001027,,,75.8953,,,,46.0096,18.9995,,272.8739,,234.2587,,,,12.9402,44.161,,515.9648,15.9185,23.1075,159.4931,572.6552,159.2877,,276.6738,516.7864
11,2010-03-01,Steam,2981.0,3757.6,691.9,1434.4,5528.6,3994.1,3710.3,180.4,4068.9,3094.3,729.3,1811.7,4176.7,1655.5,3602.5,,944.9,623.7,799.7,2768.7,1947.0,1307.9,2370.5,4209.7,673.2,-151126.8,423.5,10791.0,1244.1,2116.4,1921.7,,1939.3,5776.1,1023.0,1351.9,2423.3,4886.2,,3500.2,,3059.1,1697.3,1971.2,,,487.3,1306.8,462.0,2944.7,1870.0,1246.3,655.6,418.0,2420.0,,,341.0,220.0,506.0,413.6,1582.9,982.3,1746.8,894.3,,,,,,,,,,,,,,,,,,,,1304.6,2313.3,259.6,,,,,,775.5,,1844.7,,,,,,,,,,,,,,,474.1,69.3,298.1,1998.7,1404.7,728.2,616.0,445.5,929.5,2169.2,,,170.5,1369.5,,,,,1395.9,,1348.6,937.2,1073.6,1532.3,,1543.3,1786.4,,,,,,
12,2010-04-01,Chilled Water,285.948,373.896,109.608,207.06,1869.12,116.856,740.244,,856.74,658.236,267.228,464.76,770.244,328.836,1653.456,,459.852,0.18,161.784,1257.216,416.076,938.064,3891.168,388.632,137.016,-33782.268000000004,,853.788,274.02,349.308,,,700.356,1110.36,,,759.384,822.528,,709.3199999999999,,132.996,320.244,63.924,,,16.008,733.812,710.436,493.5,781.4399999999999,493.488,4.164,912.672,912.672,,,137.016,156.768,529.728,272.316,220.524,,,,,,,,,,,,,,,,,,,,,,274.032,328.836,794.676,82.212,,,657.0,,,244.716,,231.18,,,,,,,,,,,,,,,,0.012,167.244,619.62,,,,,88.524,1254.156,,,,,,,,,,,,,,217.068,,,,,,,,,
13,2010-04-01,Electricity,188.827638,238.039685,44.017461,263.398275,2089.465904,311.753659,1074.975545,27.324478,2077.141561,194.046115,594.841531,110.431028,265.8727,28.235749,2757.704,341.3,519.148017,173.196098,178.472596,1457.050656,733.743805,499.642722,2026.922679,268.958052,256.391386,-41402.063204,36.1778,4684.0012,444.809464,134.052401,112.844019,43.41336,832.3556140000001,1428.644257,183.817354,313.17688,1216.055313,3237.872144,,233.899716,,573.482977,109.260369,119.1137,,,18.351701,1475.450139,688.4601210000001,830.260032,934.042536,830.260032,184.360021,587.817577,1371.572071,22.205296,1.846433,207.23736,135.56436,517.246976,389.617841,406.969533,260.0706,382.593887,61.993732,,,,,5.42508,35.18803,26.304538,194.21104,207.38136,207.38136,34.679568,24.720359,,,1908.563252,54.870801,468.482032,147.80784,776.2982400000001,,874.56384,,200.07968,329.271648,1735.6332200000002,291.79424,,231.3336,,583.7079,,62.7808,47.22208,947.64891412,1.166904,1770.961331,8.46424,0.812294,,16.889400000000002,,,,75.47344,90.95645,16.269771,153.042333,1182.375829,283.44965,126.922644,350.542404,169.202888,255.657591,383.488093,,116.481805,19.62475,277.722636,,106.956594,,87.82488000000001,405.283511,,377.324215,253.234361,265.39488,424.276856,30.717,319.272498,554.472567,55.41088,1415.036626,789.291136,,392.574487412,51.31648
14,2010-04-01,Fuel Oil #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2010-04-01,Gas,,,,,0.3081,,13.6591,,15.1996,,,,,1.6432,40.5665,,,,,0.1027,0.5135,,0.1027,58.0255,0.001027,274876.962854,0.0001027,0.4108,,,18.8968,,15.1996,16.740099999999998,5.7512,27.8317,15.1996,5.7512,,5.7512,,0.0001027,5.7512,,,,2.4648,,,,3.2864,,6.162,2.2594,2.1567,,84.7275,31.7343,4.3134,7.9079,8.9349,64.701,0.2054,,,,,,,,116.3591,,101.673,,7.2917,161.7525,40.4638,,,,,,1943.084,170.6874,,14.9942,,425.7942,185.4762,892.463,362.6337,,12.5294,,27.3182,,374.9577,307.5865,1550.0511,,1632.962,,,,,,,,173.1522,,,0.0001027,43.0313,,0.0001027,,,51.9662,,,,38.2044,17.7671,,141.5206,,192.7679,,,,11.6051,38.5125,,364.2769,15.208843,23.2102,75.998,433.8048,78.4628,,121.186,301.3218
16,2010-04-01,Steam,2103.2,2651.0,488.4,1012.0,4693.7,2818.2,3205.4,154.0,2820.4,2183.5,577.5,1549.9,2946.9,1168.2,3348.4,,810.7,440.0,671.0,2173.6,1651.1,1269.4,2317.7,2970.0,475.2,-122060.4,298.1,9229.0,917.4,1492.7,1355.2,,1596.1,4152.5,721.6,1207.8,2024.0,4335.1,,2439.8,,2158.2,1197.9,1391.5,,,343.2,1445.4,438.9,2680.7,1695.1,1129.7,532.4,377.3,2219.8,,,279.4,200.2,425.7,326.7,1399.2,832.7,1419.0,631.4,,,,,,,,,,,,,,,,,,,,1344.2,2383.7,267.3,,,,,,640.2,,1388.2,,,,,,,,,,,,,,,423.5,69.3,265.1,1764.4,1140.7,728.2,616.0,445.5,847.0,1975.6,,,152.9,1140.7,,,,,1162.7,,1094.5,781.0,894.3,1175.9,,1254.0,1579.6,,,,,,
17,2010-05-01,Chilled Water,375.696,540.672,225.6,247.452,2225.652,396.012,936.024,,1281.264,782.808,290.724,636.888,1035.348,676.776,1807.38,,409.656,42.768,207.108,1233.36,667.908,1208.76,2225.556,460.536,281.988,-45165.264,,2584.884,563.988,414.732,,,829.368,1404.036,,,1251.936,1728.432,,918.54,,201.3,282.012,61.164,,,49.728,1253.004,651.72,843.588,1344.264,843.564,14.964,912.672,912.672,,,281.988,128.184,457.608,332.028,671.028,308.82,,,,,,,,,,,,,,,,,,,,,563.988,676.776,1635.54,169.188,,,280.644,,,257.868,,344.904,,,,,,,,,,,,,,,,33.528,314.172,1318.764,,,,,114.288,1774.764,,,,,,,,,,,,,,238.68,,,,,,,,,
18,2010-05-01,Electricity,1269.482415,1600.324983,295.927578,242.654061,1782.449489,364.170513,930.482777,24.47121,1833.231516,1304.568055,549.557847,239.916835,1787.449534,27.556562,2447.121,341.3,464.963229,155.12426299999998,171.411099,1315.411156,774.576937,447.509147,1212.22934,1808.180096,256.391386,-25857.666599999997,40.956,4182.061529,403.164038,901.229954,89.72777,43.41336,551.138066,1211.908518,183.817354,287.463338,692.968694,2978.132605,,1572.502207,,546.359866,734.549273,530.332418,,,21.495074,960.046183,594.643577,1113.214797,1252.36622,1113.214797,181.957269,542.236962,1265.219578,12.655108000000002,1.580219,181.84464,124.50624,471.628818,361.320658,397.686173,288.7398,332.074661,104.516299,,,,,5.8208720000000005,28.80572,21.209851999999998,174.585216,202.87752,202.87752,34.897936,19.348297,,,1508.276373,54.137006,367.047672,250.57728,850.81632,,1020.32448,,199.39728,386.71608,885.20928,310.21904,,238.70352,,547.8511920000001,,69.6048,39.85216,897.45839412,1.6582320000000002,1726.148641,6.010293,2.232102,,15.71226,,,,68.51296,69.799263,13.433568,150.595212,1102.555998,324.074589,116.17852,350.542404,169.202888,224.459358,336.689037,,116.604637,18.931911,197.554679,,65.382841,,94.949136,384.88401,,339.518414,232.483321,228.26144,619.329806,97.47528,298.207462,493.45154,65.78336,1340.892614,849.72448,,402.390811412,46.67616
19,2010-05-01,Fuel Oil #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
