BUILDING_NUMBER,BUILDING_NAME_LONG,BUILDING_GROUP_LEVEL1,CLUSTER_NUM,BUILDING_TYPE,BUILDING_USE,SITE,CAMPUS_SECTOR,YEAR_CONST_BEGAN,YEAR_OCCUPIED,LATITUDE_WGS,LONGITUDE_WGS,OWNERSHIP_TYPE,BUILDING_HEIGHT,NUM_OF_ROOMS,EXT_GROSS_AREA,ASSIGNABLE_AREA,NON_ASSIGNABLE_AREA,BLDG_SRV,CIRCULAT,CLASSRMS,GENERAL,HEALTH,LABS,MECHANIC,OFFICES,RESIDENT,SPECIAL,STUDY,SUPPORT,UNCLASS,USEABLE_AREA,STRUCT_AREA,LEVEL3_CATEGORY,LEVEL2_CATEGORY,NUMBER_OF_UNITS,UNIT_OF_MEASURE,MMBTU,kBTU,GHG,PI_CONNECTION,METER_STATUS,START_DATE,END_DATE,START_DATE_USE
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Steam,Produced,2951,MLB,3246.1,3246100,194.766,Y,Chilled Water Only,2017-03-01,2017-03-31,2017-02-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Steam,Produced,471,MLB,518.1,518100,31.086,Y,Chilled Water Only,2017-10-01,2017-10-31,2017-09-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Chilled Water,Produced,25083,THR,300.996,300996,9.919774674,Y,Chilled Water Only,2017-04-01,2017-04-30,2017-03-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Electricity,Produced,213778,KWH,729.624314,729624.314,64.206939632,Y,Chilled Water Only,2017-10-01,2017-10-31,2017-09-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Chilled Water,Produced,25598,THR,307.176,307176,10.123445843999999,Y,Chilled Water Only,2017-11-01,2017-11-30,2017-10-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Electricity,Produced,44847,KWH,153.062811,153062.81100000002,13.469527368,Y,Chilled Water Only,2018-01-01,2018-01-31,2017-12-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Steam,Produced,935,MLB,1028.5,1028500,61.71,Y,Chilled Water Only,2017-11-01,2017-11-30,2017-10-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Electricity,Produced,98082,KWH,334.753866,334753.86600000004,29.458340208,Y,Chilled Water Only,2017-11-01,2017-11-30,2017-10-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Chilled Water,Produced,25964,THR,311.568,311568,10.268190791999999,Y,Chilled Water Only,2017-10-01,2017-10-31,2017-09-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Chilled Water,Produced,34517,THR,414.204,414204,13.650714126,Y,Chilled Water Only,2017-06-01,2017-06-30,2017-05-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Chilled Water,Produced,37091,THR,445.092,445092,14.668674498,Y,Chilled Water Only,2017-07-01,2017-07-31,2017-06-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Chilled Water,Produced,32142,THR,385.704,385704,12.711453876,Y,Chilled Water Only,2017-08-01,2017-08-31,2017-07-01
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Steam,Produced,732,MLB,805.2,805200,48.312,Y,Chilled Water Only,2017-12-01,2017-12-31,2017-11-01
